,AnnotationTimestamp,VideoTime,valence,session,participant,time
0,1602256476695,0,0,3,4,82771.96993075791
1,1602256481831,4871,1,3,4,82776.84093075791
2,1602256483148,6219,0,3,4,82778.18893075791
3,1602256545831,34712,1,3,4,82806.68193075791
4,1602256575781,64638,2,3,4,82836.60793075792
5,1602256578397,67260,3,3,4,82839.22993075791
6,1602256579297,68168,4,3,4,82840.13793075792
7,1602256579864,68719,3,3,4,82840.68893075791
8,1602256580097,68961,2,3,4,82840.93093075791
9,1602256588964,77832,3,3,4,82849.80193075791
10,1602256590547,79388,4,3,4,82851.35793075792
11,1602256610447,99308,5,3,4,82871.27793075792
12,1602256611280,100138,6,3,4,82872.10793075792
13,1602256618947,107793,7,3,4,82879.76293075792
14,1602256622696,111548,8,3,4,82883.51793075791
15,1602256625463,114313,7,3,4,82886.28293075791
16,1602256625529,114408,6,3,4,82886.37793075791
17,1602256625630,114507,5,3,4,82886.47693075791
18,1602256626847,115721,6,3,4,82887.69093075792
19,1602256627046,115921,7,3,4,82887.89093075792
20,1602256627097,115978,8,3,4,82887.94793075792
21,1602256635963,124811,9,3,4,82896.78093075792
22,1602256705795,194668,8,3,4,82966.63793075792
23,1602256706079,194911,7,3,4,82966.8809307579
24,1602256706129,195012,6,3,4,82966.98193075792
25,1602256706179,195062,5,3,4,82967.03193075792
26,1602256707945,196798,4,3,4,82968.76793075791
27,1602256718912,207763,5,3,4,82979.73293075792
28,1602256719329,208196,6,3,4,82980.16593075791
29,1602256720812,209663,7,3,4,82981.63293075791
30,1602256722679,211561,8,3,4,82983.53093075792
31,1602256724662,213492,9,3,4,82985.46193075791
32,1602256728462,217323,8,3,4,82989.29293075792
33,1602256728512,217379,7,3,4,82989.34893075791
34,1602256728545,217421,6,3,4,82989.39093075792
35,1602256728612,217479,5,3,4,82989.44893075792
36,1602256728728,217579,6,3,4,82989.54893075791
37,1602256728762,217619,7,3,4,82989.58893075792
38,1602256728812,217679,8,3,4,82989.64893075792
39,1602256729261,218122,7,3,4,82990.09193075792
40,1602256740612,229491,8,3,4,83001.46093075791
41,1602256740695,229547,9,3,4,83001.51693075792
42,1602256756912,245779,8,3,4,83017.74893075791
43,1602256756995,245878,7,3,4,83017.84793075791
44,1602256766162,255028,6,3,4,83026.99793075792
45,1602256779445,268312,5,3,4,83040.28193075792
46,1602256779478,268353,4,3,4,83040.32293075792
47,1602256785678,274553,5,3,4,83046.52293075791
48,1602256798094,286970,6,3,4,83058.93993075792
49,1602256803445,292322,7,3,4,83064.29193075791
50,1602256806261,295107,8,3,4,83067.07693075792
51,1602256812544,301371,9,3,4,83073.34093075791
52,1602256815394,304258,10,3,4,83076.22793075792
53,1602256815811,304658,9,3,4,83076.62793075791
54,1602256818095,306933,8,3,4,83078.90293075792
55,1602256819678,308533,7,3,4,83080.50293075791
56,1602256827610,316493,8,3,4,83088.46293075792
57,1602256833578,322418,7,3,4,83094.38793075792
58,1602256833794,322638,8,3,4,83094.60793075792
59,1602256833861,322722,9,3,4,83094.69193075791
60,1602256837111,325969,10,3,4,83097.93893075791
61,1602256839394,328269,11,3,4,83100.23893075791
62,1602256843077,331938,10,3,4,83103.90793075791
63,1602256843161,332038,9,3,4,83104.00793075791
64,1602256843245,332082,8,3,4,83104.05193075791
65,1602256844277,333133,7,3,4,83105.10293075792
66,1602256850477,339319,8,3,4,83111.28893075792
67,1602256863444,352320,9,3,4,83124.28993075792
68,1602256868827,357690,10,3,4,83129.65993075792
69,1602256879144,367983,11,3,4,83139.9529307579
70,1602256879677,368538,10,3,4,83140.50793075791
71,1602256879710,368582,9,3,4,83140.55193075791
72,1602256879777,368634,8,3,4,83140.60393075792
73,1602256882161,371024,9,3,4,83142.99393075792
74,1602256887394,376263,10,3,4,83148.23293075792
75,1602256892376,381240,11,3,4,83153.20993075792
76,1602256899544,388398,10,3,4,83160.36793075792
77,1602256923326,412208,11,3,4,83184.17793075791
78,1602256924643,413483,12,3,4,83185.4529307579
79,1602256936760,425627,13,3,4,83197.5969307579
80,1602256952026,440861,14,3,4,83212.83093075792
81,1602256952777,441624,13,3,4,83213.59393075791
82,1602256952810,441675,12,3,4,83213.64493075792
83,1602256954010,442879,11,3,4,83214.84893075791
84,1602256954077,442928,10,3,4,83214.89793075791
85,1602256957093,445941,11,3,4,83217.91093075792
86,1602256961209,450071,12,3,4,83222.04093075791
87,1602256970826,459679,11,3,4,83231.64893075792
88,1602256970843,459725,10,3,4,83231.69493075792
89,1602256970909,459776,9,3,4,83231.74593075791
90,1602256971376,460259,8,3,4,83232.22893075792
91,1602256971443,460299,7,3,4,83232.26893075791
92,1602256980209,469060,8,3,4,83241.02993075791
93,1602256989426,478302,7,3,4,83250.27193075791
94,1602256995626,484468,8,3,4,83256.43793075791
95,1602256995709,484569,9,3,4,83256.53893075792
96,1602256997209,486064,8,3,4,83258.03393075791
97,1602256998209,487048,7,3,4,83259.01793075791
98,1602256998393,487248,9,3,4,83259.21793075792
99,1602256998892,487749,8,3,4,83259.71893075791
100,1602256999459,488294,7,3,4,83260.26393075791
101,1602257012875,501741,8,3,4,83273.71093075791
102,1602257013592,502474,9,3,4,83274.44393075792
103,1602257026875,515747,8,3,4,83287.71693075792
104,1602257027109,515969,9,3,4,83287.93893075791
105,1602257027192,516058,10,3,4,83288.02793075792
106,1602257028076,516913,11,3,4,83288.88293075791
107,1602257030842,519719,12,3,4,83291.68893075791
108,1602257031842,520698,13,3,4,83292.66793075792
109,1602257035155,524028,12,3,4,83295.99793075792
110,1602257035226,524073,10,3,4,83296.04293075792
111,1602257035279,524127,9,3,4,83296.0969307579
112,1602257039825,528702,10,3,4,83300.67193075792
113,1602257040192,529058,9,3,4,83301.02793075792
114,1602257040259,529102,8,3,4,83301.07193075791
115,1602257040625,529468,7,3,4,83301.43793075791
116,1602257041526,530401,8,3,4,83302.37093075791
117,1602257050889,539729,9,3,4,83311.69893075792
118,1602257065027,553868,10,3,4,83325.83793075792
119,1602257065105,553968,11,3,4,83325.93793075791
120,1602257066079,554912,12,3,4,83326.88193075791
121,1602257067291,556169,13,3,4,83328.13893075791
122,1602257073660,562520,12,3,4,83334.48993075792
123,1602257073754,562621,11,3,4,83334.59093075791
124,1602257073830,562671,10,3,4,83334.64093075792
125,1602257073904,562759,9,3,4,83334.72893075792
126,1602257073971,562804,8,3,4,83334.77393075792
127,1602257074909,563753,9,3,4,83335.72293075791
128,1602257075425,564298,10,3,4,83336.26793075791
129,1602257077213,566058,11,3,4,83338.02793075792
130,1602257082093,570932,12,3,4,83342.90193075791
131,1602257092220,581069,13,3,4,83353.03893075792
132,1602257092330,581179,14,3,4,83353.14893075792
133,1602257100885,589759,15,3,4,83361.72893075792
134,1602257106308,595178,16,3,4,83367.14793075791
135,1602257106525,595378,17,3,4,83367.34793075791
136,1602257107571,596453,16,3,4,83368.42293075791
137,1602257108271,597154,17,3,4,83369.12393075791
138,1602257110061,598908,16,3,4,83370.87793075791
139,1602257127943,616808,15,3,4,83388.77793075792
140,1602257132022,620881,16,3,4,83392.85093075791
141,1602257132299,621168,17,3,4,83393.13793075792
142,1602257142543,631371,18,3,4,83403.34093075791
143,1602257142591,631469,19,3,4,83403.43893075791
144,1602257146871,635718,20,3,4,83407.68793075791
145,1602257146927,635763,21,3,4,83407.73293075792
146,1602257147390,636263,22,3,4,83408.23293075792
147,1602257152860,641691,23,3,4,83413.66093075792
148,1602257157794,646621,24,3,4,83418.59093075791
149,1602257164357,653239,23,3,4,83425.20893075792
150,1602257164413,653281,22,3,4,83425.25093075792
151,1602257164491,653338,21,3,4,83425.30793075792
152,1602257164509,653383,20,3,4,83425.35293075792
153,1602257167403,656263,21,3,4,83428.23293075792
154,1602257171153,659990,22,3,4,83431.95993075792
155,1602257191079,679962,21,3,4,83451.93193075791
156,1602257191307,680158,20,3,4,83452.12793075791
157,1602257191757,680619,21,3,4,83452.58893075792
158,1602257191974,680819,22,3,4,83452.78893075792
159,1602257193341,682192,23,3,4,83454.16193075791
160,1602257217013,705869,24,3,4,83477.83893075792
161,1602257217828,706698,25,3,4,83478.66793075792
162,1602257224440,713274,26,3,4,83485.24393075792
163,1602257229268,718148,27,3,4,83490.11793075792
164,1602257232457,721318,28,3,4,83493.28793075791
165,1602257236911,725793,27,3,4,83497.76293075792
166,1602257236969,725833,25,3,4,83497.80293075791
167,1602257237223,726068,24,3,4,83498.03793075791
168,1602257237261,726108,21,3,4,83498.0779307579
169,1602257237498,726344,20,3,4,83498.31393075791
170,1602257237519,726393,19,3,4,83498.36293075791
171,1602257237590,726438,16,3,4,83498.40793075791
172,1602257251520,740361,17,3,4,83512.33093075792
173,1602257251596,740461,18,3,4,83512.43093075791
174,1602257252538,741418,19,3,4,83513.38793075792
175,1602257260316,749198,20,3,4,83521.16793075792
176,1602257260373,749239,22,3,4,83521.20893075792
177,1602257262444,751320,23,3,4,83523.28993075792
178,1602257268039,756883,22,3,4,83528.85293075792
179,1602257268058,756939,21,3,4,83528.90893075791
180,1602257268347,757182,20,3,4,83529.15193075791
181,1602257268440,757281,19,3,4,83529.25093075792
182,1602257282774,771629,20,3,4,83543.59893075791
183,1602257282923,771771,21,3,4,83543.74093075791
184,1602257284929,773803,22,3,4,83545.77293075791
185,1602257287156,776001,23,3,4,83547.97093075792
186,1602257287440,776299,24,3,4,83548.26893075791
187,1602257297399,786259,25,3,4,83558.22893075792
188,1602257297473,786314,26,3,4,83558.28393075791
189,1602257297853,786714,27,3,4,83558.68393075792
